index, setting, noise, wait
0, 0xb174, 0.000000, 0.043000
1, 0xb274, 0.000000, 0.046000
2, 0xb374, 0.000000, 0.048000
3, 0xb474, 0.000000, 0.061000
4, 0xb574, 0.000000, 0.068000
