index, setting, noise, wait
0, 0xb174, 0.000000, 0.043000
1, 0xb274, 0.000000, 0.045000
2, 0xb374, 0.000000, 0.047000
3, 0xb474, 0.000000, 0.056000
4, 0xb574, 0.000000, 0.073000
5, 0xb674, 0.000000, 0.104000
6, 0xb774, 0.000000, 0.140000
7, 0xb175, 0.000000, 0.043000
8, 0xb275, 0.000000, 0.044000
9, 0xb375, 0.000000, 0.051000
10, 0xb475, 0.000000, 0.055000
11, 0xb575, 0.000000, 0.068000
12, 0xb675, 0.000000, 0.092000
13, 0xb775, 0.000000, 0.140000
